CODE_CULTURE,LIBELLE_CULTURE,CODE_GROUPE_CULTURE,LIBELLE_GROUPE_CULTURE,ID_GROUP_JECAM
PH7,Pois fourrager d’hiver implanté pour la récolte 2017,16,Fourrage,9
PH8,Pois fourrager d’hiver implanté pour la récolte 2018,16,Fourrage,9
PP5,Pois fourrager de printemps implanté pour la récolte 2015,16,Fourrage,9
PP6,Pois fourrager de printemps implanté pour la récolte 2016,16,Fourrage,9
PP7,Pois fourrager de printemps implanté pour la récolte 2017,16,Fourrage,9
PP8,Pois fourrager de printemps implanté pour la récolte 2018,16,Fourrage,9
RDF,Radis fourrager,16,Fourrage,9
SA5,Sainfoin implanté pour la récolte 2015,16,Fourrage,9
SA6,Sainfoin implanté pour la récolte 2016,16,Fourrage,9
SA7,Sainfoin implanté pour la récolte 2017,16,Fourrage,9
SA8,Sainfoin implanté pour la récolte 2018,16,Fourrage,9
SAD,Sainfoin déshydraté,16,Fourrage,9
SAI,Autre sainfoin,16,Fourrage,9
SE5,Serradelle implantée pour la récolte 2015,16,Fourrage,9
SE6,Serradelle implantée pour la récolte 2016,16,Fourrage,9
SE7,Serradelle implantée pour la récolte 2017,16,Fourrage,9
SE8,Serradelle implantée pour la récolte 2018,16,Fourrage,9
SED,Serradelle déshydratée,16,Fourrage,9
SER,Autre serradelle,16,Fourrage,9
TR5,Trèfle implanté pour la récolte 2015,16,Fourrage,9
TR6,Trèfle implanté pour la récolte 2016,16,Fourrage,9
TR7,Trèfle implanté pour la récolte 2017,16,Fourrage,9
TR8,Trèfle implanté pour la récolte 2018,16,Fourrage,9
TRD,Trèfle déshydraté,16,Fourrage,9
TRE,Autre trèfle,16,Fourrage,9
VE5,Vesce implantée pour la récolte 2015,16,Fourrage,9
VE6,Vesce implantée pour la récolte 2016,16,Fourrage,9
VE7,Vesce implantée pour la récolte 2017,16,Fourrage,9
VE8,Vesce implantée pour la récolte 2018,16,Fourrage,9
VED,Vesce déshydratée,16,Fourrage,9
VES,Autre vesce,16,Fourrage,9
XFE,X-Felium de 5 ans ou moins,16,Fourrage,9
BOP,Bois pâturé,17,Estives et landes,9
SPH,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,17,Estives et landes,9
SPL,Surface pastorale - ressources fourragères ligneuses prédominantes,17,Estives et landes,9
PPH,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),18,Prairies permanentes,9
PRL,Prairie en rotation longue (6 ans ou plus),18,Prairies permanentes,9
PTR,Autre prairie temporaire de 5 ans ou moins,19,Prairies temporaires,9
RGA,Ray-grass de 5 ans ou moins,19,Prairies temporaires,9
AGR,Agrume,20,Vergers,3
ANA,Ananas,20,Vergers,3
AVO,Avocat,20,Vergers,3
BCA,Banane créole (fruit et légume) - autre,20,Vergers,3
BCF,Banane créole (fruit et légume) - fermage,20,Vergers,3
BCI,Banane créole (fruit et légume) - indivision,20,Vergers,3
BCP,Banane créole (fruit et légume) - propriété ou faire valoir direct,20,Vergers,3
BCR,Banane créole (fruit et légume) - réforme foncière,20,Vergers,3
BEA,Banane export - autre,20,Vergers,3
BEF,Banane export - fermage,20,Vergers,3
BEI,Banane export - indivision,20,Vergers,3
BEP,Banane export - propriété ou faire valoir direct,20,Vergers,3
BER,Banane export - réforme foncière,20,Vergers,3
CAC,Café / Cacao,20,Vergers,3
CBT,Cerise bigarreau pour transformation,20,Vergers,3
PFR,Petit fruit rouge,20,Vergers,3
PRU,Prune d’Ente pour transformation,20,Vergers,3
PVT,Pêche Pavie pour transformation,20,Vergers,3
PWT,Poire Williams pour transformation,20,Vergers,3
VGD,Verger (DOM),20,Vergers,3
VRG,Verger,20,Vergers,3
RVI,Restructuration du vignoble,21,Vignes,3
VRC,Vigne : raisins de cuve,21,Vignes,3
VRN,Vigne : raisins de cuve non en production,21,Vignes,3
VRT,Vigne : raisins de table,21,Vignes,3
CAB,Caroube,22,Fruits à coque,3
CTG,Châtaigne,22,Fruits à coque,3
NOS,Noisette,22,Fruits à coque,3
NOX,Noix,22,Fruits à coque,3
PIS,Pistache,22,Fruits à coque,3
OLI,Oliveraie,23,Oliviers,4
ANE,Aneth,24,Autres cultures industrielles,9
ANG,Angélique,24,Autres cultures industrielles,9
ANI,Anis,24,Autres cultures industrielles,6
BAR,Bardane,24,Autres cultures industrielles,9
BAS,Basilic,24,Autres cultures industrielles,9
BRH,Bourrache de 5 ans ou moins,24,Autres cultures industrielles,9
BTN,Betterave non fourragère / Bette,24,Autres cultures industrielles,2
CAV,Carvi,24,Autres cultures industrielles,6
CHR,Chardon Marie,24,Autres cultures industrielles,9
CIB,Ciboulette,24,Autres cultures industrielles,9
CML,Cameline,24,Autres cultures industrielles,9
CMM,Camomille,24,Autres cultures industrielles,9
CRD,Coriandre,24,Autres cultures industrielles,9
CRF,Cerfeuil,24,Autres cultures industrielles,9
CUM,Cumin,24,Autres cultures industrielles,6
CUR,Curcuma,24,Autres cultures industrielles,6
EST,Estragon,24,Autres cultures industrielles,9
FNO,Fenouil,24,Autres cultures industrielles,6
FNU,Fenugrec,24,Autres cultures industrielles,9
HBL,Houblon,24,Autres cultures industrielles,6
LAV,Lavande / Lavandin,24,Autres cultures industrielles,9
MAV,Mauve,24,Autres cultures industrielles,9
MLI,Mélisse,24,Autres cultures industrielles,9
MLP,Millepertuis,24,Autres cultures industrielles,9
MOT,Moutarde,24,Autres cultures industrielles,4
MRJ,Marjolaine / Origan,24,Autres cultures industrielles,9
MTH,Menthe,24,Autres cultures industrielles,9
ORT,Ortie,24,Autres cultures industrielles,9
OSE,Oseille,24,Autres cultures industrielles,9
PAR,Plante aromatique (autre que vanille),24,Autres cultures industrielles,9
PMD,Plante médicinale,24,Autres cultures industrielles,9
PPA,Autre plante à parfum,24,Autres cultures industrielles,9
PPF,Plante à parfum (autre que géranium et vétiver),24,Autres cultures industrielles,9
PPP,Autre plante à parfum,24,Autres cultures industrielles,9
PSL,Persil,24,Autres cultures industrielles,9
PSN,Psyllium noir de Provence,24,Autres cultures industrielles,9
PSY,Plantain psyllium,24,Autres cultures industrielles,9
ROM,Romarin,24,Autres cultures industrielles,9
SGE,Sauge,24,Autres cultures industrielles,9
SRI,Sarriette,24,Autres cultures industrielles,9
TAB,Tabac,24,Autres cultures industrielles,9
THY,Thym,24,Autres cultures industrielles,9
TOT,Tomate pour transformation,24,Autres cultures industrielles,2
VAL,Valériane,24,Autres cultures industrielles,9
VNB,Vanille sous bois,24,Autres cultures industrielles,6
VNL,Vanille,24,Autres cultures industrielles,6
VNV,Vanille verte,24,Autres cultures industrielles,6
YLA,Ylang-ylang,24,Autres cultures industrielles,9
AIL,Aïl,25,Légumes ou fleurs,2
ART,Artichaut,25,Légumes ou fleurs,2
AUB,Aubergine,25,Légumes ou fleurs,2
BLT,Bleuet,25,Légumes ou fleurs,9
BUR,Bugle rampante,25,Légumes ou fleurs,9
CAR,Carotte,25,Légumes ou fleurs,2
CCN,Concombre / Cornichon,25,Légumes ou fleurs,2
CCT,Courgette / Citrouille,25,Légumes ou fleurs,2
CEL,Céleri,25,Légumes ou fleurs,2
CES,Chicorée / Endive / Scarole,25,Légumes ou fleurs,2
CHU,Chou,25,Légumes ou fleurs,2
CMB,Courge musquée / Butternut,25,Légumes ou fleurs,2
CRA,Cresson alénois de 5 ans ou moins,25,Légumes ou fleurs,2
CRN,Cornille,25,Légumes ou fleurs,2
CRS,Cresson,25,Légumes ou fleurs,2
CSS,Culture sous serre hors sol,25,Légumes ou fleurs,2
DOL,Dolique,25,Légumes ou fleurs,2
EPI,Épinard,25,Légumes ou fleurs,2
FLA,Autre légume ou fruit annuel,25,Légumes ou fleurs,2
FLP,Autre légume ou fruit pérenne,25,Légumes ou fleurs,2
FRA,Fraise,25,Légumes ou fleurs,2
GER,Géranium,25,Légumes ou fleurs,9
HAR,Haricot / Flageolet,25,Légumes ou fleurs,7
HPC,Horticulture ornementale de plein champ,25,Légumes ou fleurs,9
HSA,Horticulture ornementale sous abri,25,Légumes ou fleurs,9
LBF,Laitue / Batavia / Feuille de chêne,25,Légumes ou fleurs,2
LSA,Légume sous abri,25,Légumes ou fleurs,2
MAC,Mâche,25,Légumes ou fleurs,2
MLO,Melon,25,Légumes ou fleurs,2
MRG,Marguerite,25,Légumes ou fleurs,9
NVT,Navet,25,Légumes ou fleurs,2
OIG,Oignon / Échalote,25,Légumes ou fleurs,2
PAN,Panais,25,Légumes ou fleurs,2
PAQ,Pâquerette,25,Légumes ou fleurs,9
PAS,Pastèque,25,Légumes ou fleurs,2
PMV,Primevère,25,Légumes ou fleurs,9
POR,Poireau,25,Légumes ou fleurs,2
POT,Potiron / Potimarron,25,Légumes ou fleurs,2
PPO,Petits pois,25,Légumes ou fleurs,2
PSE,Pensée,25,Légumes ou fleurs,9
PTC,Pomme de terre de consommation,25,Légumes ou fleurs,5
PTF,Pomme de terre féculière,25,Légumes ou fleurs,2
PVP,Poivron / Piment,25,Légumes ou fleurs,6
RDI,Radis,25,Légumes ou fleurs,2
ROQ,Roquette,25,Légumes ou fleurs,2
RUT,Rutabaga,25,Légumes ou fleurs,2
SFI,Salsifis,25,Légumes ou fleurs,2
TOM,Tomate,25,Légumes ou fleurs,2
TOP,Topinambour,25,Légumes ou fleurs,2
VER,Véronique,25,Légumes ou fleurs,9
CSA,Canne à sucre - autre,26,Canne à sucre,8
CSF,Canne à sucre - fermage,26,Canne à sucre,8
CSI,Canne à sucre - indivision,26,Canne à sucre,8
CSP,Canne à sucre - propriété ou faire valoir direct,26,Canne à sucre,8
CSR,Canne à sucre - réforme foncière,26,Canne à sucre,8
ACA,Autre culture non précisée dans la liste (admissible),28,Divers,9
BFP,Bande admissible le long d’une forêt avec production,28,Divers,9
BFS,Bande admissible le long d’une forêt sans production,28,Divers,9
BOR,Bordure de champ,28,Divers,9
BRO,Brome de 5 ans ou moins,28,Divers,9
BTA,Bande tampon,28,Divers,9
CAE,Châtaigneraie entretenue par des porcins ou des petits ruminants,28,Divers,9
CEE,Chênaie entretenue par des porcins ou des petits ruminants,28,Divers,9
CNE,Chênaie non entretenue par des porcins ou des petits ruminants,28,Divers,9
CID,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,28,Divers,9
CIT,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,28,Divers,9
CUA,Culture sous abattis,28,Divers,9
MCT,Miscanthus,28,Divers,9
MPA,Autre mélange de plantes fixant l’azote,28,Divers,9
MRS,Marais salant,28,Divers,9
NYG,Nyger,28,Divers,9
PCL,Phacélie de 5 ans ou moins,28,Divers,9
PEP,Pépinière,28,Divers,9
ROS,Roselière,28,Divers,9
SBO,Surface boisée sur une ancienne terre agricole,28,Divers,9
SNA,Surface non agricole non visible sur l’orthophotographie,28,Divers,9
SNE,Surface agricole temporairement non exploitée,28,Divers,9
TBT,Tubercule tropical,28,Divers,5
TCR,Taillis à courte rotation,28,Divers,9
TRU,Truffière (chênaie de plants mycorhizés),28,Divers,2
VET,Vétiver,28,Divers,9
ZZZ,Culture inconnue,28,Divers,9
MLS,Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou d'oléagineux,8,Protéagineux,7
