SE5,Fourrage,Serradelle implantée pour la récolte 2015,,,
SE6,Fourrage,Serradelle implantée pour la récolte 2016,,,
SE7,Fourrage,Serradelle implantée pour la récolte 2017,,,
SE8,Fourrage,Serradelle implantée pour la récolte 2018,,,
SED,Fourrage,Serradelle déshydratée,,,
SER,Fourrage,Autre serradelle,,,
TR5,Fourrage,Trèfle implanté pour la récolte 2015,,,
TR6,Fourrage,Trèfle implanté pour la récolte 2016,,,
TR7,Fourrage,Trèfle implanté pour la récolte 2017,,,
TR8,Fourrage,Trèfle implanté pour la récolte 2018,,,
TRD,Fourrage,Trèfle déshydraté,,,
TRE,Fourrage,Autre trèfle,,,
VE5,Fourrage,Vesce implantée pour la récolte 2015,,,
VE6,Fourrage,Vesce implantée pour la récolte 2016,,,
VE7,Fourrage,Vesce implantée pour la récolte 2017,,,
VE8,Fourrage,Vesce implantée pour la récolte 2018,,,
VED,Fourrage,Vesce déshydratée,,,
VES,Fourrage,Autre vesce,,,
XFE,Fourrage,X-Felium de 5 ans ou moins,,,
BOP,Estives et landes,Bois pâturé,,,
SPH,Estives et landes,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,,,
SPL,Estives et landes,Surface pastorale - ressources fourragères ligneuses prédominantes,,,
PPH,Prairies permanentes,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),,,
PRL,Prairies permanentes,Prairie en rotation longue (6 ans ou plus),,,
PTR,Prairies temporaires,Autre prairie temporaire de 5 ans ou moins,,,
RGA,Prairies temporaires,Ray-grass de 5 ans ou moins,,,
AGR,Vergers,Agrume,,,
ANA,Vergers,Ananas,,,
AVO,Vergers,Avocat,,,
BCA,Vergers,Banane créole (fruit et légume) - autre,,,
BCF,Vergers,Banane créole (fruit et légume) - fermage,,,
BCI,Vergers,Banane créole (fruit et légume) - indivision,,,
BCP,Vergers,Banane créole (fruit et légume) - propriété ou faire valoir direct,,,
BCR,Vergers,Banane créole (fruit et légume) - réforme foncière,,,
BEA,Vergers,Banane export - autre,,,
BEF,Vergers,Banane export - fermage,,,
BEI,Vergers,Banane export - indivision,,,
BEP,Vergers,Banane export - propriété ou faire valoir direct,,,
BER,Vergers,Banane export - réforme foncière,,,
CAC,Vergers,Café / Cacao,,,
CBT,Vergers,Cerise bigarreau pour transformation,,,
PFR,Vergers,Petit fruit rouge,,,
PRU,Vergers,Prune d’Ente pour transformation,,,
PVT,Vergers,Pêche Pavie pour transformation,,,
PWT,Vergers,Poire Williams pour transformation,,,
VGD,Vergers,Verger (DOM),,,
VRG,Vergers,Verger,,,
RVI,Vignes,Restructuration du vignoble,,,
VRC,Vignes,Vigne : raisins de cuve,,,
VRN,Vignes,Vigne : raisins de cuve non en production,,,
VRT,Vignes,Vigne : raisins de table,,,
CAB,Fruits à coque,Caroube,,,
CTG,Fruits à coque,Châtaigne,,,
NOS,Fruits à coque,Noisette,,,
NOX,Fruits à coque,Noix,,,
PIS,Fruits à coque,Pistache,,,
OLI,Oliviers,Oliveraie,,,
ANE,Autres cultures industrielles,Aneth,,,
ANG,Autres cultures industrielles,Angélique,,,
ANI,Autres cultures industrielles,Anis,,,
BAR,Autres cultures industrielles,Bardane,,,
BAS,Autres cultures industrielles,Basilic,,,
BRH,Autres cultures industrielles,Bourrache de 5 ans ou moins,,,
BTN,Autres cultures industrielles,Betterave non fourragère / Bette,,,
CAV,Autres cultures industrielles,Carvi,,,
CHR,Autres cultures industrielles,Chardon Marie,,,
CIB,Autres cultures industrielles,Ciboulette,,,
CML,Autres cultures industrielles,Cameline,,,
CMM,Autres cultures industrielles,Camomille,,,
CRD,Autres cultures industrielles,Coriandre,,,
CRF,Autres cultures industrielles,Cerfeuil,,,
CUM,Autres cultures industrielles,Cumin,,,
CUR,Autres cultures industrielles,Curcuma,,,
EST,Autres cultures industrielles,Estragon,,,
FNO,Autres cultures industrielles,Fenouil,,,
FNU,Autres cultures industrielles,Fenugrec,,,
HBL,Autres cultures industrielles,Houblon,,,
LAV,Autres cultures industrielles,Lavande / Lavandin,,,
MAV,Autres cultures industrielles,Mauve,,,
MLI,Autres cultures industrielles,Mélisse,,,
MLP,Autres cultures industrielles,Millepertuis,,,
MOT,Autres cultures industrielles,Moutarde,,,
MRJ,Autres cultures industrielles,Marjolaine / Origan,,,
MTH,Autres cultures industrielles,Menthe,,,
ORT,Autres cultures industrielles,Ortie,,,
OSE,Autres cultures industrielles,Oseille,,,
PAR,Autres cultures industrielles,Plante aromatique (autre que vanille),,,
PMD,Autres cultures industrielles,Plante médicinale,,,
PPA,24,Autre plante à parfum,,,Autres cultures industrielles
PPF,Autres cultures industrielles,Plante à parfum (autre que géranium et vétiver),,,
PPP,24,Autre plante à parfum,,,Autres cultures industrielles
PSL,Autres cultures industrielles,Persil,,,
PSN,Autres cultures industrielles,Psyllium noir de Provence,,,
PSY,Autres cultures industrielles,Plantain psyllium,,,
ROM,Autres cultures industrielles,Romarin,,,
SGE,Autres cultures industrielles,Sauge,,,
SRI,Autres cultures industrielles,Sarriette,,,
TAB,Autres cultures industrielles,Tabac,,,
THY,Autres cultures industrielles,Thym,,,
TOT,Autres cultures industrielles,Tomate pour transformation,,,
VAL,Autres cultures industrielles,Valériane,,,
VNB,Autres cultures industrielles,Vanille sous bois,,,
VNL,Autres cultures industrielles,Vanille,,,
VNV,Autres cultures industrielles,Vanille verte,,,
YLA,Autres cultures industrielles,Ylang-ylang,,,
AIL,Légumes ou fleurs,Aïl,,,
ART,Légumes ou fleurs,Artichaut,,,
AUB,Légumes ou fleurs,Aubergine,,,
BLT,Légumes ou fleurs,Bleuet,,,
BUR,Légumes ou fleurs,Bugle rampante,,,
CAR,Légumes ou fleurs,Carotte,,,
CCN,Légumes ou fleurs,Concombre / Cornichon,,,
CCT,Légumes ou fleurs,Courgette / Citrouille,,,
CEL,Légumes ou fleurs,Céleri,,,
CES,Légumes ou fleurs,Chicorée / Endive / Scarole,,,
CHU,Légumes ou fleurs,Chou,,,
CMB,Légumes ou fleurs,Courge musquée / Butternut,,,
CRA,Légumes ou fleurs,Cresson alénois de 5 ans ou moins,,,
CRN,Légumes ou fleurs,Cornille,,,
CRS,Légumes ou fleurs,Cresson,,,
CSS,Légumes ou fleurs,Culture sous serre hors sol,,,
DOL,Légumes ou fleurs,Dolique,,,
EPI,Légumes ou fleurs,Épinard,,,
FLA,Légumes ou fleurs,Autre légume ou fruit annuel,,,
FLP,Légumes ou fleurs,Autre légume ou fruit pérenne,,,
FRA,Légumes ou fleurs,Fraise,,,
GER,Légumes ou fleurs,Géranium,,,
HAR,Légumes ou fleurs,Haricot / Flageolet,,,
HPC,Légumes ou fleurs,Horticulture ornementale de plein champ,,,
HSA,Légumes ou fleurs,Horticulture ornementale sous abri,,,
LBF,Légumes ou fleurs,Laitue / Batavia / Feuille de chêne,,,
LSA,Légumes ou fleurs,Légume sous abri,,,
MAC,Légumes ou fleurs,Mâche,,,
MLO,Légumes ou fleurs,Melon,,,
MRG,Légumes ou fleurs,Marguerite,,,
NVT,Légumes ou fleurs,Navet,,,
OIG,Légumes ou fleurs,Oignon / Échalote,,,
PAN,Légumes ou fleurs,Panais,,,
PAQ,Légumes ou fleurs,Pâquerette,,,
PAS,Légumes ou fleurs,Pastèque,,,
PMV,Légumes ou fleurs,Primevère,,,
POR,Légumes ou fleurs,Poireau,,,
POT,Légumes ou fleurs,Potiron / Potimarron,,,
PPO,Légumes ou fleurs,Petits pois,,,
PSE,Légumes ou fleurs,Pensée,,,
PTC,Légumes ou fleurs,Pomme de terre de consommation,,,
PTF,Légumes ou fleurs,Pomme de terre féculière,,,
PVP,Légumes ou fleurs,Poivron / Piment,,,
RDI,Légumes ou fleurs,Radis,,,
ROQ,Légumes ou fleurs,Roquette,,,
RUT,Légumes ou fleurs,Rutabaga,,,
SFI,Légumes ou fleurs,Salsifis,,,
TOM,Légumes ou fleurs,Tomate,,,
TOP,Légumes ou fleurs,Topinambour,,,
VER,Légumes ou fleurs,Véronique,,,
CSA,Canne à sucre,Canne à sucre - autre,,,
CSF,Canne à sucre,Canne à sucre - fermage,,,
CSI,Canne à sucre,Canne à sucre - indivision,,,
CSP,Canne à sucre,Canne à sucre - propriété ou faire valoir direct,,,
CSR,Canne à sucre,Canne à sucre - réforme foncière,,,
ACA,Divers,Autre culture non précisée dans la liste (admissible),,,
BFP,Divers,Bande admissible le long d’une forêt avec production,,,
BFS,Divers,Bande admissible le long d’une forêt sans production,,,
BOR,Divers,Bordure de champ,,,
BRO,Divers,Brome de 5 ans ou moins,,,
BTA,Divers,Bande tampon,,,
CAE,Divers,Châtaigneraie entretenue par des porcins ou des petits ruminants,,,
CEE,Divers,Chênaie entretenue par des porcins ou des petits ruminants,,,
CNE,Divers,Chênaie non entretenue par des porcins ou des petits ruminants,,,
CID,Divers,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,,,
CIT,Divers,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,,,
CUA,Divers,Culture sous abattis,,,
MCT,Divers,Miscanthus,,,
MPA,Divers,Autre mélange de plantes fixant l’azote,,,
MRS,Divers,Marais salant,,,
NYG,Divers,Nyger,,,
PCL,Divers,Phacélie de 5 ans ou moins,,,
PEP,Divers,Pépinière,,,
ROS,Divers,Roselière,,,
SBO,Divers,Surface boisée sur une ancienne terre agricole,,,
SNA,Divers,Surface non agricole non visible sur l’orthophotographie,,,
SNE,Divers,Surface agricole temporairement non exploitée,,,
TBT,Divers,Tubercule tropical,,,
TCR,Divers,Taillis à courte rotation,,,
TRU,Divers,Truffière (chênaie de plants mycorhizés),,,
VET,Divers,Vétiver,,,
ZZZ,Divers,Culture inconnue,,,
MLS,Protéagineux,Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou d'oléagineux,,,
