"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
2.0,3,Fruit and nuts,39.0,"Other fruits, n.e.c",,NULL,,NULL
1.0,4,Oilseed crops,41.0,Soya beans,,NULL,,NULL
1.0,4,Oilseed crops,42.0,Groundnuts,,NULL,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,431.0,Castor bean,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,432.0,Linseed,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,433.0,Mustard,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,434.0,Niger seed,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,435.0,Rapeseed,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,436.0,Safflower,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,437.0,Sesame,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,438.0,Sunflower,,NULL
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,439.0,"Other temporary oilseed crops, n.e.c.",,NULL
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,441.0,Coconuts,,NULL
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,442.0,Olives,,NULL
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,443.0,Oil palms,,NULL
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,449.0,"Other oleaginous fruits, n.e.c.",,NULL
1.0,5,Root/tuber crops with high starch or inulin content,,Root/tuber crops with high starch or inulin content,,NULL,,NULL
1.0,5,Root/tuber crops with high starch or inulin content,51.0,Potatoes,,NULL,,NULL
1.0,5,Root/tuber crops with high starch or inulin content,52.0,Sweet potatoes,,NULL,,NULL
1.0,5,Root/tuber crops with high starch or inulin content,53.0,Cassava,,NULL,,NULL
1.0,5,Root/tuber crops with high starch or inulin content,54.0,Yams,,NULL,,NULL
1.0,5,Root/tuber crops with high starch or inulin content,59.0,"Other roots & tubers, n.e.c",,NULL,,NULL
2.0,6,Beverage and spice crops,61.0,Beverage crops,611.0,Coffee,,NULL
2.0,6,Beverage and spice crops,61.0,Beverage crops,612.0,Tea,,NULL
2.0,6,Beverage and spice crops,61.0,Beverage crops,613.0,Maté,,NULL
2.0,6,Beverage and spice crops,61.0,Beverage crops,614.0,Cocoa,,NULL
2.0,6,Beverage and spice crops,61.0,Beverage crops,619.0,"Other beverage crops, n.e.c.",,NULL
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6211.0,Chilies & peppers (capsicum spp.)
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6212.0,"Anise, badian, and fennel"
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6219.0,"Other temporary spice crops, n.e.c"
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6221.0,Pepper (piper spp.)
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6222.0,"Nutmeg, mace, cardamoms"
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6223.0,Cinnamon (canella)
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6224.0,Cloves
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6225.0,Ginger
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6226.0,Vanilla
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6229.0,"Other permanent spice crops, n.e.c"
1.0,7,Leguminous crops,71.0,Beans,,NULL,,NULL
1.0,7,Leguminous crops,72.0,Broad beans,,NULL,,NULL
1.0,7,Leguminous crops,73.0,Chick peas,,NULL,,NULL
1.0,7,Leguminous crops,74.0,Cow peas,,NULL,,NULL
1.0,7,Leguminous crops,75.0,Lentils,,NULL,,NULL
1.0,7,Leguminous crops,76.0,Lupins,,NULL,,NULL
1.0,7,Leguminous crops,77.0,Peas,,NULL,,NULL
1.0,7,Leguminous crops,78.0,Pigeon peas,,NULL,,NULL
1.0,7,Leguminous crops,79.0,"Leguminous crops, n.e.c",,NULL,,NULL
1.0,8,Sugar crops,81.0,Sugar beet,,NULL,,NULL
