"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,435.0,Rapeseed,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,436.0,Safflower,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,437.0,Sesame,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,438.0,Sunflower,,
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,439.0,"Other temporary oilseed crops, n.e.c.",,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,441.0,Coconuts,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,442.0,Olives,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,443.0,Oil palms,,
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,449.0,"Other oleaginous fruits, n.e.c.",,
1.0,5,Root/tuber crops with high starch or inulin content,,Root/tuber crops with high starch or inulin content,,,,
1.0,5,Root/tuber crops with high starch or inulin content,51.0,Potatoes,,,,
1.0,5,Root/tuber crops with high starch or inulin content,52.0,Sweet potatoes,,,,
1.0,5,Root/tuber crops with high starch or inulin content,53.0,Cassava,,,,
1.0,5,Root/tuber crops with high starch or inulin content,54.0,Yams,,,,
1.0,5,Root/tuber crops with high starch or inulin content,59.0,"Other roots & tubers, n.e.c",,,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,611.0,Coffee,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,612.0,Tea,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,613.0,Maté,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,614.0,Cocoa,,
2.0,6,Beverage and spice crops,61.0,Beverage crops,619.0,"Other beverage crops, n.e.c.",,
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6211.0,Chilies & peppers (capsicum spp.)
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6212.0,"Anise, badian, and fennel"
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6219.0,"Other temporary spice crops, n.e.c"
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6221.0,Pepper (piper spp.)
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6222.0,"Nutmeg, mace, cardamoms"
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6223.0,Cinnamon (canella)
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6224.0,Cloves
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6225.0,Ginger
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6226.0,Vanilla
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6229.0,"Other permanent spice crops, n.e.c"
1.0,7,Leguminous crops,71.0,Beans,,,,
1.0,7,Leguminous crops,72.0,Broad beans,,,,
1.0,7,Leguminous crops,73.0,Chick peas,,,,
1.0,7,Leguminous crops,74.0,Cow peas,,,,
1.0,7,Leguminous crops,75.0,Lentils,,,,
1.0,7,Leguminous crops,76.0,Lupins,,,,
1.0,7,Leguminous crops,77.0,Peas,,,,
1.0,7,Leguminous crops,78.0,Pigeon peas,,,,
1.0,7,Leguminous crops,79.0,"Leguminous crops, n.e.c",,,,
1.0,8,Sugar crops,81.0,Sugar beet,,,,
1.0,8,Sugar crops,82.0,Sugar cane,,,,
1.0,8,Sugar crops,83.0,Sweet sorghum,,,,
1.0,8,Sugar crops,89.0,Other sugar crops n.e.c,,,,
1.0,9,Other crops,91.0,Grasses and other fodder crops,911.0,Temporary grass crops,,
2.0,9,Other crops,91.0,Grasses and other fodder crops,912.0,Permanent grass crops,,
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9211.0,Cotton
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9212.0,"Jute, kenaf, and other similar crops"
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9213.0,"Flax, hemp, and other similar products"
1.0,9,Other crops,92.0,Fibre crops,921.0,Temporary fibre crops,9219.0,Other temporary fibre crops
2.0,9,Other crops,92.0,Fibre crops,922.0,Permanent fibre crops,,
1.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",931.0,"Temporary medicinal, etc. crops",,
2.0,9,Other crops,93.0,"Medicinal, aromatic, pesticidal, or similar crops",932.0,"Permanent medicinal, etc. crops",,
2.0,9,Other crops,94.0,Rubber,,,,
1.0,9,Other crops,95.0,Flower crops,951.0,Temporary flower crops,,
2.0,9,Other crops,95.0,Flower crops,952.0,Permanent flower crops,,
1.0,9,Other crops,96.0,Tobacco,,,,
1.0,9,Other crops,99.0,Other crops,991.0,Other crops - temporary,,
2.0,9,Other crops,99.0,Other crops,992.0,Other crops - permanent,,
