ID,label_en
1,Cereals
2,Vegetables and melons
3,Fruit and nuts
4,Oilseed crops and oleaginous fruits
5,Root/tuber crops with high starch or inulin content
6,"Stimulant, spice and aromatic crops"
7,Leguminous crops
8,Sugar crops
9,Other crops
