"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,Sub-crops,
2,6,,,,,Vanilla
2,6,,,,,"Other permanent spice crops, n.e.c"
1,7,Leguminous crops,,Leguminous crops,,Leguminous crops
1,7,Beans,71,Beans,,Beans
1,7,Broad beans,72,Broad beans,,Broad beans
1,7,Chick peas,73,Chick peas,,Chick peas
1,7,Cow peas,74,Cow peas,,Cow peas
1,7,Lentils,75,Lentils,,Lentils
1,7,Lupins,76,Lupins,,Lupins
1,7,Peas,77,Peas,,Peas
1,7,Pigeon peas,78,Pigeon peas,,Pigeon peas
1,7,"Leguminous crops, n.e.c",79,"Leguminous crops, n.e.c",,"Leguminous crops, n.e.c"
1,8,Sugar crops,,Sugar crops,,Sugar crops
1,8,Sugar beet,81,Sugar beet,,Sugar beet
1,8,Sugar cane,82,Sugar cane,,Sugar cane
1,8,Sweet sorghum,83,Sweet sorghum,,Sweet sorghum
1,8,Other sugar crops n.e.c,89,Other sugar crops n.e.c,,Other sugar crops n.e.c
,9,Other crops,,Other crops,,Other crops
,9,Grasses and other fodder crops,91,Grasses and other fodder crops,,Grasses and other fodder crops
1,9,,,Temporary grass crops,911,Temporary grass crops
2,9,,,Permanent grass crops,912,Permanent grass crops
,9,Fibre crops,92,Fibre crops,,Fibre crops
1,9,,,Temporary fibre crops,921,Temporary fibre crops
1,9,,,,,Cotton
1,9,,,,,"Jute, kenaf, and other similar crops"
1,9,,,,,"Flax, hemp, and other similar products"
1,9,,,,,Other temporary fibre crops
2,9,,,Permanent fibre crops,922,Permanent fibre crops
,9,"Medicinal, aromatic, pesticidal, or similar crops",93,"Medicinal, aromatic, pesticidal, or similar crops",,"Medicinal, aromatic, pesticidal, or similar crops"
1,9,,,"Temporary medicinal, etc. crops",931,"Temporary medicinal, etc. crops"
2,9,,,"Permanent medicinal, etc. crops",932,"Permanent medicinal, etc. crops"
2,9,Rubber,94,Rubber,,Rubber
,9,Flower crops,95,Flower crops,,Flower crops
1,9,,,Temporary flower crops,951,Temporary flower crops
2,9,,,Permanent flower crops,952,Permanent flower crops
1,9,Tobacco,96,Tobacco,,Tobacco
,9,Other crops,99,Other crops,,Other crops
1,9,,,Other crops - temporary,991,Other crops - temporary
2,9,,,Other crops - permanent,992,Other crops - permanent
