"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1,5,Root/tuber crops with high starch or inulin content,52,Sweet potatoes,,,,
1,5,Root/tuber crops with high starch or inulin content,53,Cassava,,,,
1,5,Root/tuber crops with high starch or inulin content,54,Yams,,,,
1,5,Root/tuber crops with high starch or inulin content,59,"Other roots & tubers, n.e.c",,,,
2,6,Beverage and spice crops,61,Beverage crops,611,Coffee,,
2,6,Beverage and spice crops,61,Beverage crops,612,Tea,,
2,6,Beverage and spice crops,61,Beverage crops,613,Maté,,
2,6,Beverage and spice crops,61,Beverage crops,614,Cocoa,,
2,6,Beverage and spice crops,61,Beverage crops,619,"Other beverage crops, n.e.c.",,
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6211,Chilies & peppers (capsicum spp.)
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6212,"Anise, badian, and fennel"
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6219,"Other temporary spice crops, n.e.c"
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6221,Pepper (piper spp.)
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6222,"Nutmeg, mace, cardamoms"
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6223,Cinnamon (canella)
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6224,Cloves
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6225,Ginger
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6226,Vanilla
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6229,"Other permanent spice crops, n.e.c"
1,7,Leguminous crops,71,Beans,,,,
1,7,Leguminous crops,72,Broad beans,,,,
1,7,Leguminous crops,73,Chick peas,,,,
1,7,Leguminous crops,74,Cow peas,,,,
1,7,Leguminous crops,75,Lentils,,,,
1,7,Leguminous crops,76,Lupins,,,,
1,7,Leguminous crops,77,Peas,,,,
1,7,Leguminous crops,78,Pigeon peas,,,,
1,7,Leguminous crops,79,"Leguminous crops, n.e.c",,,,
1,8,Sugar crops,81,Sugar beet,,,,
1,8,Sugar crops,82,Sugar cane,,,,
1,8,Sugar crops,83,Sweet sorghum,,,,
1,8,Sugar crops,89,Other sugar crops n.e.c,,,,
1,9,Other crops,91,Grasses and other fodder crops,911,Temporary grass crops,,
2,9,Other crops,91,Grasses and other fodder crops,912,Permanent grass crops,,
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9211,Cotton
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9212,"Jute, kenaf, and other similar crops"
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9213,"Flax, hemp, and other similar products"
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9219,Other temporary fibre crops
2,9,Other crops,92,Fibre crops,922,Permanent fibre crops,,
1,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",931,"Temporary medicinal, etc. crops",,
2,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",932,"Permanent medicinal, etc. crops",,
2,9,Other crops,94,Rubber,,,,
1,9,Other crops,95,Flower crops,951,Temporary flower crops,,
2,9,Other crops,95,Flower crops,952,Permanent flower crops,,
1,9,Other crops,96,Tobacco,,,,
1,9,Other crops,99,Other crops,991,Other crops - temporary,,
2,9,Other crops,99,Other crops,992,Other crops - permanent,,
