"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS,GROUPE
2.0,3,Fruit and nuts,36.0,Nuts,362.0,Cashew nuts,,,Fruits et noix
2.0,3,Fruit and nuts,36.0,Nuts,363.0,Chestnuts,,,Fruits et noix
2.0,3,Fruit and nuts,36.0,Nuts,364.0,Hazelnuts,,,Fruits et noix
2.0,3,Fruit and nuts,36.0,Nuts,365.0,Pistachios,,,Fruits et noix
2.0,3,Fruit and nuts,36.0,Nuts,366.0,Walnuts,,,Fruits et noix
2.0,3,Fruit and nuts,36.0,Nuts,369.0,Other nuts n.e.c.,,,Fruits et noix
2.0,3,Fruit and nuts,39.0,"Other fruits, n.e.c",,,,,Fruits et noix
1.0,4,Oilseed crops,41.0,Soya beans,,,,,Cultures oléagineuses
1.0,4,Oilseed crops,42.0,Groundnuts,,,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,431.0,Castor bean,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,432.0,Linseed,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,433.0,Mustard,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,434.0,Niger seed,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,435.0,Rapeseed,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,436.0,Safflower,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,437.0,Sesame,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,438.0,Sunflower,,,Cultures oléagineuses
1.0,4,Oilseed crops,43.0,Other temporary oilseed crops,439.0,"Other temporary oilseed crops, n.e.c.",,,Cultures oléagineuses
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,441.0,Coconuts,,,Cultures oléagineuses
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,442.0,Olives,,,Cultures oléagineuses
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,443.0,Oil palms,,,Cultures oléagineuses
2.0,4,Oilseed crops,44.0,Permanent oilseed crops,449.0,"Other oleaginous fruits, n.e.c.",,,Cultures oléagineuses
1.0,5,Root/tuber crops with high starch or inulin content,,Root/tuber crops with high starch or inulin content,,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
1.0,5,Root/tuber crops with high starch or inulin content,51.0,Potatoes,,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
1.0,5,Root/tuber crops with high starch or inulin content,52.0,Sweet potatoes,,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
1.0,5,Root/tuber crops with high starch or inulin content,53.0,Cassava,,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
1.0,5,Root/tuber crops with high starch or inulin content,54.0,Yams,,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
1.0,5,Root/tuber crops with high starch or inulin content,59.0,"Other roots & tubers, n.e.c",,,,,Cultures de racines/tubercules à forte teneur en amidon ou en inuline
2.0,6,Beverage and spice crops,61.0,Beverage crops,611.0,Coffee,,,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,61.0,Beverage crops,612.0,Tea,,,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,61.0,Beverage crops,613.0,Maté,,,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,61.0,Beverage crops,614.0,Cocoa,,,Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,61.0,Beverage crops,619.0,"Other beverage crops, n.e.c.",,,Cultures de boissons et d'épices
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6211.0,Chilies & peppers (capsicum spp.),Cultures de boissons et d'épices
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6212.0,"Anise, badian, and fennel",Cultures de boissons et d'épices
1.0,6,Beverage and spice crops,62.0,Spice crops,621.0,Temporary spice crops,6219.0,"Other temporary spice crops, n.e.c",Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6221.0,Pepper (piper spp.),Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6222.0,"Nutmeg, mace, cardamoms",Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6223.0,Cinnamon (canella),Cultures de boissons et d'épices
2.0,6,Beverage and spice crops,62.0,Spice crops,622.0,Permanent spice crops,6224.0,Cloves,Cultures de boissons et d'épices
