CROPS_WL,ID_CROPS_WL,GROUP_WL,ID_GROUP_WL,ID_GROUP_ICC
Chou blanc (transformation industrielle),8540,CULTURES HORTICOLES,CULTURES HORTICOLES,
Chou blanc (consommation au frais),9540,CULTURES HORTICOLES,CULTURES HORTICOLES,
Chou frisé (transformation industrielle),8524,CULTURES HORTICOLES,CULTURES HORTICOLES,
Chou de Milan ( transformation industrielle),8546,CULTURES HORTICOLES,CULTURES HORTICOLES,
Chou chinois,8526,CULTURES HORTICOLES,CULTURES HORTICOLES,
Courgettes ( consommation au frais),9541,CULTURES HORTICOLES,CULTURES HORTICOLES,
Courgettes (transformation industrielle),8541,CULTURES HORTICOLES,CULTURES HORTICOLES,
Courges butternut ( consommation au frais),9456,CULTURES HORTICOLES,CULTURES HORTICOLES,
Courges butternut (transformation industrielle),8456,CULTURES HORTICOLES,CULTURES HORTICOLES,
Echalotes en frais,9513,CULTURES HORTICOLES,CULTURES HORTICOLES,
Echalotes industrielle,8513,CULTURES HORTICOLES,CULTURES HORTICOLES,
Endives de Bruxelles (pour la racine) (transformation industrielle),8561,CULTURES HORTICOLES,CULTURES HORTICOLES,
Endives (chicons),9515,CULTURES HORTICOLES,CULTURES HORTICOLES,
Epinards (consommation au frais),9519,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Epinards ( transformation industrielle),8519,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Fenouil ( de Florence) ( consommation au frais),9534,CULTURES HORTICOLES,CULTURES HORTICOLES,6.0
Fenouil (de Florence) ( transformation industrielle),8534,CULTURES HORTICOLES,CULTURES HORTICOLES,6.0
Fleurs et plantes ornementales sous serre,9588,CULTURES HORTICOLES,CULTURES HORTICOLES,
Plants de fraisiers de plein air,9724,CULTURES HORTICOLES,CULTURES HORTICOLES,
Cultures fruitières annuelles- Fraises sous serres,8516,CULTURES HORTICOLES,CULTURES HORTICOLES,3.0
Haricots de conserverie,9410,CULTURES HORTICOLES,CULTURES HORTICOLES,7.0
Haricots verts (transformation industrielle),8410,CULTURES HORTICOLES,CULTURES HORTICOLES,7.0
Laitues pommées (consommation au frais),9518,CULTURES HORTICOLES,CULTURES HORTICOLES,3.0
Laitues pommées (transformation industrielle),8518,CULTURES HORTICOLES,CULTURES HORTICOLES,3.0
Légume légumineuse,966,CULTURES HORTICOLES,CULTURES HORTICOLES,
Navets fourragers,746,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Oignons (hâtifs) (transformation industrielle),8563,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Oignons (non hâtifs) ( transformation industrielle),8514,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Oignons (hâtifs) (consommation au frais),9563,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Oignons (non hâtifs) (consommation au frais),9514,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Pépinières de plants forestiers,9560,CULTURES HORTICOLES,CULTURES HORTICOLES,
Pépinières de plants fruitiers ou de plantes ornementales,9520,CULTURES HORTICOLES,CULTURES HORTICOLES,
Persil ( consommation au frais),959,CULTURES HORTICOLES,CULTURES HORTICOLES,
Persil (transformation industrielle),859,CULTURES HORTICOLES,CULTURES HORTICOLES,
Plantes aromatiques,953,CULTURES HORTICOLES,CULTURES HORTICOLES,
Plantes vivaces ornementales de plein air,9584,CULTURES HORTICOLES,CULTURES HORTICOLES,
Poireau (consommation au frais),9538,CULTURES HORTICOLES,CULTURES HORTICOLES,
Poireau (transformation industrielle),8538,CULTURES HORTICOLES,CULTURES HORTICOLES,
"Pois récoltés à l’état frais, pois de conserverie",931,CULTURES HORTICOLES,CULTURES HORTICOLES,7.0
Pois (autres que récoltés secs) (transformation industrielle),831,CULTURES HORTICOLES,CULTURES HORTICOLES,7.0
Rhubarbe ( consommation au frais),9517,CULTURES HORTICOLES,CULTURES HORTICOLES,
Rhubarbe ( transformation industrielle),8517,CULTURES HORTICOLES,CULTURES HORTICOLES,
Scaroles (transformation industrielle),8537,CULTURES HORTICOLES,CULTURES HORTICOLES,
Scaroles (consommation au frais),9537,CULTURES HORTICOLES,CULTURES HORTICOLES,
Scorsonère (transformation industrielle),8533,CULTURES HORTICOLES,CULTURES HORTICOLES,
Tomates (consommation au frais),9552,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Tomates ( transformation industrielle),8552,CULTURES HORTICOLES,CULTURES HORTICOLES,2.0
Cultures maraîchères sous serres ou sous protection fixe,952,CULTURES HORTICOLES,CULTURES HORTICOLES,
Vignes,9716,CULTURES HORTICOLES,CULTURES HORTICOLES,
Noisetier,9201,FRUITS A COQUES,FRUITS A COQUES,
Noyer,9202,FRUITS A COQUES,FRUITS A COQUES,
Colza d’hiver,4111,OLEAGINEUX,OLEAGINEUX,4.0
Navette d’hiver (graines),4112,OLEAGINEUX,OLEAGINEUX,
Colza de printemps,4121,OLEAGINEUX,OLEAGINEUX,4.0
Navette de printemps (graines),4122,OLEAGINEUX,OLEAGINEUX,
Lin oléagineux,45,OLEAGINEUX,OLEAGINEUX,9.0
Soja,43,OLEAGINEUX,OLEAGINEUX,4.0
Tournesol,42,OLEAGINEUX,OLEAGINEUX,4.0
Autres oléagineux*,46,OLEAGINEUX,OLEAGINEUX,4.0
Chanvre textile (culture soumise à autorisation préalable au semis),922,PLANTES A FIBRES,PLANTES A FIBRES,9.0
Chanvre non textile (culture soumise à autorisation préalable au semis),872,PLANTES A FIBRES,PLANTES A FIBRES,9.0
Lin textile,921,PLANTES A FIBRES,PLANTES A FIBRES,9.0
Pomme de terre (plants),902,POMMES DE TERRE,POMMES DE TERRE,3.0
Pomme de terre (non hâtives),901,POMMES DE TERRE,POMMES DE TERRE,3.0
Pomme de terre féculière,903,POMMES DE TERRE,POMMES DE TERRE,3.0
Pomme de terre hâtives,904,POMMES DE TERRE,POMMES DE TERRE,3.0
"Pomme de terre (primeur, arrachage avant le 20 juin)",905,POMMES DE TERRE,POMMES DE TERRE,3.0
Betterave fourragère,71,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Luzerne,73,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Prairie permanente (taux de couverture > 90%), hors rotation depuis 5 ans****",610,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Prairie permanente (taux de couverture > 90%),avec contrat d’aide complémentaire
environnemental, hors rotation depuis 5 ans****",618,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Prairie permanente (50%<taux de couverture <= 90%), hors rotation depuis 5 ans****",670,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Prairie permanente (50%<taux de couverture <= 90%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",678,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Autres surfaces pâturées (taux de couverture <= 50%), hors rotation depuis 5 ans****",600,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
"Autres surfaces pâturées (taux de couverture <= 50%), avec contrat d’aide
complémentaire environnemental, hors rotation depuis 5 ans****",608,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Prairie temporaire,62,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Prairie à vocation à devenir permanente pour les parcelles en MAEC et N2000,623,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Trèfles,72,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Carotte,7433,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,2.0
Carottes fourragères,742,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,2.0
Autres fourrages*,743,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Fèves et Féveroles d’hiver,521,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Fèves et Féveroles de printemps,522,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Lotier corniculé (Lotus corniculatis),57,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Lupin doux,53,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Luzerne lupuline,56,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Mélange protéagineux d'hiver + céréales ou autres espèces,541,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,1.0
Mélange protéagineux de printemps + céréales ou autres espèces,542,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,1.0
Mélange légumineuses fourragères + graminées prairiales,543,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Pois protéagineux d’hiver,511,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Pois protéagineux de printemps,512,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,7.0
Sainfoin ( Onobrychis sativa),58,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Autres protéagineux*,55,PRODUCTIONS FOURRAGERES,PRODUCTIONS FOURRAGERES,
Angél i que,881,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Betterave sucrière,91,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,8.0
Chicorée à inuline,9811,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,2.0
Chicorée à café,9812,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,2.0
Jachère herbacée,811,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Jachère NON herbacée,812,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Jachère mellifère,813,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Cultures forestières à rotation courte (taillis à très courte rotation),883,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Multiplication de semences en mode de production biologique*,821,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Houblon,9822,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,6.0
Miscanthus,884,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Ortie,7431,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Plantes aromatiques,953,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Plantes médicinales,957,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Tabac,9821,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,9.0
Couvert à finalité environnementale rémunéré par des tiers privés,874,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Tounière enherbée,751,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
"Bande/parcelle aménagée MAE – MC7, MC8",754,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Bande bordure de champ,752,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Parcours BIO (volaille ou porc),760,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
Autres couverts semés *,85,AUTRES UTILISATIONS DU SOL,AUTRES UTILISATIONS DU SOL,
