ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC
MI8,Fourrage,Minette implanté pour la récolte 2018,16,
MIN,Fourrage,Minette,16,
ML5,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),16,7.0
ML6,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),16,7.0
ML7,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),16,7.0
ML8,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),16,7.0
MLC,Fourrage,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,16,7.0
MLD,Fourrage,Mélange de légumineuses déshydratées (entre elles),16,7.0
MLF,Fourrage,Mélange de légumineuses fourragères (entre elles),16,7.0
MLG,Fourrage,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,16,7.0
MOH,Fourrage,Moha,16,
NVF,Fourrage,Navet fourrager,16,2.0
PAT,Fourrage,Pâturin commun de 5 ans ou moins,16,
PFH,Fourrage,Autre pois fourrager d’hiver,16,
PFP,Fourrage,Autre pois fourrager de printemps,16,
PH5,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2015,16,7.0
PH6,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2016,16,7.0
PH7,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2017,16,7.0
PH8,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2018,16,7.0
PP5,Fourrage,Pois fourrager de printemps implanté pour la récolte 2015,16,7.0
PP6,Fourrage,Pois fourrager de printemps implanté pour la récolte 2016,16,7.0
PP7,Fourrage,Pois fourrager de printemps implanté pour la récolte 2017,16,7.0
PP8,Fourrage,Pois fourrager de printemps implanté pour la récolte 2018,16,7.0
RDF,Fourrage,Radis fourrager,16,
SA5,Fourrage,Sainfoin implanté pour la récolte 2015,16,
SA6,Fourrage,Sainfoin implanté pour la récolte 2016,16,
SA7,Fourrage,Sainfoin implanté pour la récolte 2017,16,
SA8,Fourrage,Sainfoin implanté pour la récolte 2018,16,
SAD,Fourrage,Sainfoin déshydraté,16,
SAI,Fourrage,Autre sainfoin,16,
SE5,Fourrage,Serradelle implantée pour la récolte 2015,16,
SE6,Fourrage,Serradelle implantée pour la récolte 2016,16,
SE7,Fourrage,Serradelle implantée pour la récolte 2017,16,
SE8,Fourrage,Serradelle implantée pour la récolte 2018,16,
SED,Fourrage,Serradelle déshydratée,16,
SER,Fourrage,Autre serradelle,16,
TR5,Fourrage,Trèfle implanté pour la récolte 2015,16,
TR6,Fourrage,Trèfle implanté pour la récolte 2016,16,
TR7,Fourrage,Trèfle implanté pour la récolte 2017,16,
TR8,Fourrage,Trèfle implanté pour la récolte 2018,16,
TRD,Fourrage,Trèfle déshydraté,16,
TRE,Fourrage,Autre trèfle,16,
VE5,Fourrage,Vesce implantée pour la récolte 2015,16,
VE6,Fourrage,Vesce implantée pour la récolte 2016,16,
VE7,Fourrage,Vesce implantée pour la récolte 2017,16,
VE8,Fourrage,Vesce implantée pour la récolte 2018,16,
VED,Fourrage,Vesce déshydratée,16,
VES,Fourrage,Autre vesce,16,
XFE,Fourrage,X-Felium de 5 ans ou moins,16,
BOP,Estives et landes,Bois pâturé,17,
SPH,Estives et landes,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,17,
SPL,Estives et landes,Surface pastorale - ressources fourragères ligneuses prédominantes,17,
PPH,Prairies permanentes,Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes),18,
PRL,Prairies permanentes,Prairie en rotation longue (6 ans ou plus),18,
PTR,Prairies temporaires,Autre prairie temporaire de 5 ans ou moins,19,
RGA,Prairies temporaires,Ray-grass de 5 ans ou moins,19,
AGR,Vergers,Agrume,20,
ANA,Vergers,Ananas,20,3.0
AVO,Vergers,Avocat,20,3.0
BCA,Vergers,Banane créole (fruit et légume) - autre,20,3.0
BCF,Vergers,Banane créole (fruit et légume) - fermage,20,3.0
BCI,Vergers,Banane créole (fruit et légume) - indivision,20,3.0
BCP,Vergers,Banane créole (fruit et légume) - propriété ou faire valoir direct,20,3.0
BCR,Vergers,Banane créole (fruit et légume) - réforme foncière,20,3.0
BEA,Vergers,Banane export - autre,20,3.0
BEF,Vergers,Banane export - fermage,20,3.0
BEI,Vergers,Banane export - indivision,20,3.0
BEP,Vergers,Banane export - propriété ou faire valoir direct,20,3.0
BER,Vergers,Banane export - réforme foncière,20,3.0
CAC,Vergers,Café / Cacao,20,6.0
CBT,Vergers,Cerise bigarreau pour transformation,20,
PFR,Vergers,Petit fruit rouge,20,
PRU,Vergers,Prune d’Ente pour transformation,20,
PVT,Vergers,Pêche Pavie pour transformation,20,
PWT,Vergers,Poire Williams pour transformation,20,6.0
VGD,Vergers,Verger (DOM),20,
VRG,Vergers,Verger,20,
RVI,Vignes,Restructuration du vignoble,21,
VRC,Vignes,Vigne : raisins de cuve,21,
VRN,Vignes,Vigne : raisins de cuve non en production,21,
VRT,Vignes,Vigne : raisins de table,21,
CAB,Fruits à coque,Caroube,22,
CTG,Fruits à coque,Châtaigne,22,3.0
NOS,Fruits à coque,Noisette,22,
NOX,Fruits à coque,Noix,22,3.0
PIS,Fruits à coque,Pistache,22,3.0
OLI,Oliviers,Oliveraie,23,
ANE,Autres cultures industrielles,Aneth,24,
ANG,Autres cultures industrielles,Angélique,24,
ANI,Autres cultures industrielles,Anis,24,6.0
BAR,Autres cultures industrielles,Bardane,24,
BAS,Autres cultures industrielles,Basilic,24,9.0
BRH,Autres cultures industrielles,Bourrache de 5 ans ou moins,24,
BTN,Autres cultures industrielles,Betterave non fourragère / Bette,24,
CAV,Autres cultures industrielles,Carvi,24,
CHR,Autres cultures industrielles,Chardon Marie,24,
CIB,Autres cultures industrielles,Ciboulette,24,
CML,Autres cultures industrielles,Cameline,24,
CMM,Autres cultures industrielles,Camomille,24,
CRD,Autres cultures industrielles,Coriandre,24,
CRF,Autres cultures industrielles,Cerfeuil,24,
CUM,Autres cultures industrielles,Cumin,24,
CUR,Autres cultures industrielles,Curcuma,24,
EST,Autres cultures industrielles,Estragon,24,
FNO,Autres cultures industrielles,Fenouil,24,
FNU,Autres cultures industrielles,Fenugrec,24,
HBL,Autres cultures industrielles,Houblon,24,6.0
LAV,Autres cultures industrielles,Lavande / Lavandin,24,
MAV,Autres cultures industrielles,Mauve,24,
MLI,Autres cultures industrielles,Mélisse,24,
MLP,Autres cultures industrielles,Millepertuis,24,
MOT,Autres cultures industrielles,Moutarde,24,4.0
MRJ,Autres cultures industrielles,Marjolaine / Origan,24,
MTH,Autres cultures industrielles,Menthe,24,9.0
ORT,Autres cultures industrielles,Ortie,24,
OSE,Autres cultures industrielles,Oseille,24,
PAR,Autres cultures industrielles,Plante aromatique (autre que vanille),24,
PMD,Autres cultures industrielles,Plante médicinale,24,
PPA,Autres cultures industrielles,Autre plante à parfum aromatique et médicinale annuelle,24,
PPF,Autres cultures industrielles,Plante à parfum (autre que géranium et vétiver),24,
PPP,Autres cultures industrielles,Autre plante à parfum aromatique et médicinale pérenne,24,
PSL,Autres cultures industrielles,Persil,24,
PSN,Autres cultures industrielles,Psyllium noir de Provence,24,
PSY,Autres cultures industrielles,Plantain psyllium,24,3.0
ROM,Autres cultures industrielles,Romarin,24,
SGE,Autres cultures industrielles,Sauge,24,
SRI,Autres cultures industrielles,Sarriette,24,
TAB,Autres cultures industrielles,Tabac,24,9.0
THY,Autres cultures industrielles,Thym,24,
TOT,Autres cultures industrielles,Tomate pour transformation,24,2.0
VAL,Autres cultures industrielles,Valériane,24,
VNB,Autres cultures industrielles,Vanille sous bois,24,6.0
VNL,Autres cultures industrielles,Vanille,24,6.0
VNV,Autres cultures industrielles,Vanille verte,24,6.0
YLA,Autres cultures industrielles,Ylang-ylang,24,
AIL,Légumes ou fleurs,Aïl,25,
ART,Légumes ou fleurs,Artichaut,25,2.0
AUB,Légumes ou fleurs,Aubergine,25,2.0
BLT,Légumes ou fleurs,Bleuet,25,
BUR,Légumes ou fleurs,Bugle rampante,25,
CAR,Légumes ou fleurs,Carotte,25,2.0
CCN,Légumes ou fleurs,Concombre / Cornichon,25,2.0
CCT,Légumes ou fleurs,Courgette / Citrouille,25,
CEL,Légumes ou fleurs,Céleri,25,
CES,Légumes ou fleurs,Chicorée / Endive / Scarole,25,2.0
CHU,Légumes ou fleurs,Chou,25,
CMB,Légumes ou fleurs,Courge musquée / Butternut,25,
CRA,Légumes ou fleurs,Cresson alénois de 5 ans ou moins,25,
CRN,Légumes ou fleurs,Cornille,25,
CRS,Légumes ou fleurs,Cresson,25,
CSS,Légumes ou fleurs,Culture sous serre hors sol,25,
DOL,Légumes ou fleurs,Dolique,25,
EPI,Légumes ou fleurs,Épinard,25,
FLA,Légumes ou fleurs,Autre légume ou fruit annuel,25,
FLP,Légumes ou fleurs,Autre légume ou fruit pérenne,25,
FRA,Légumes ou fleurs,Fraise,25,3.0
GER,Légumes ou fleurs,Géranium,25,
HAR,Légumes ou fleurs,Haricot / Flageolet,25,7.0
HPC,Légumes ou fleurs,Horticulture ornementale de plein champ,25,
HSA,Légumes ou fleurs,Horticulture ornementale sous abri,25,
LBF,Légumes ou fleurs,Laitue / Batavia / Feuille de chêne,25,2.0
LSA,Légumes ou fleurs,Légume sous abri,25,
MAC,Légumes ou fleurs,Mâche,25,
MLO,Légumes ou fleurs,Melon,25,2.0
MRG,Légumes ou fleurs,Marguerite,25,
NVT,Légumes ou fleurs,Navet,25,2.0
OIG,Légumes ou fleurs,Oignon / Échalote,25,2.0
PAN,Légumes ou fleurs,Panais,25,
PAQ,Légumes ou fleurs,Pâquerette,25,
PAS,Légumes ou fleurs,Pastèque,25,2.0
PMV,Légumes ou fleurs,Primevère,25,
POR,Légumes ou fleurs,Poireau,25,2.0
POT,Légumes ou fleurs,Potiron / Potimarron,25,
PPO,Légumes ou fleurs,Petits pois,25,
PSE,Légumes ou fleurs,Pensée,25,
PTC,Légumes ou fleurs,Pomme de terre de consommation,25,3.0
PTF,Légumes ou fleurs,Pomme de terre féculière,25,3.0
PVP,Légumes ou fleurs,Poivron / Piment,25,
RDI,Légumes ou fleurs,Radis,25,
ROQ,Légumes ou fleurs,Roquette,25,
RUT,Légumes ou fleurs,Rutabaga,25,
SFI,Légumes ou fleurs,Salsifis,25,
TOM,Légumes ou fleurs,Tomate,25,2.0
TOP,Légumes ou fleurs,Topinambour,25,
VER,Légumes ou fleurs,Véronique,25,
CSA,Canne à sucre,Canne à sucre - autre,26,8.0
CSF,Canne à sucre,Canne à sucre - fermage,26,8.0
CSI,Canne à sucre,Canne à sucre - indivision,26,8.0
CSP,Canne à sucre,Canne à sucre - propriété ou faire valoir direct,26,8.0
CSR,Canne à sucre,Canne à sucre - réforme foncière,26,8.0
ACA,Divers,Autre culture non précisée dans la liste (admissible),28,
BFP,Divers,Bande admissible le long d’une forêt avec production,28,
BFS,Divers,Bande admissible le long d’une forêt sans production,28,
BOR,Divers,Bordure de champ,28,
BRO,Divers,Brome de 5 ans ou moins,28,
BTA,Divers,Bande tampon,28,
CAE,Divers,Châtaigneraie entretenue par des porcins ou des petits ruminants,28,
CEE,Divers,Chênaie entretenue par des porcins ou des petits ruminants,28,
CNE,Divers,Chênaie non entretenue par des porcins ou des petits ruminants,28,
CID,Divers,Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%,28,
CIT,Divers,Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%,28,
CUA,Divers,Culture sous abattis,28,
MCT,Divers,Miscanthus,28,
MPA,Divers,Autre mélange de plantes fixant l’azote,28,
MRS,Divers,Marais salant,28,
NYG,Divers,Nyger,28,
PCL,Divers,Phacélie de 5 ans ou moins,28,
PEP,Divers,Pépinière,28,
ROS,Divers,Roselière,28,
SBO,Divers,Surface boisée sur une ancienne terre agricole,28,
SNA,Divers,Surface non agricole non visible sur l’orthophotographie,28,
SNE,Divers,Surface agricole temporairement non exploitée,28,
TBT,Divers,Tubercule tropical,28,
TCR,Divers,Taillis à courte rotation,28,
TRU,Divers,Truffière (chênaie de plants mycorhizés),28,
VET,Divers,Vétiver,28,
ZZZ,Divers,Culture inconnue,28,
MLS,Protéagineux,Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou d'oléagineux,8,7.0
