ID_CROPS_FR,GROUP_FR,CROPS_FR,ID_GROUP_FR,ID_GROUP_ICC
BTH,Blé tendre,Blé tendre d’hiver,1,
BTP,Blé tendre,Blé tendre de printemps,1,
MID,Maïs grain et ensilage,Maïs doux,2,
MIE,Maïs grain et ensilage,Maïs ensilage,2,
MIS,Maïs grain et ensilage,Maïs,2,1.0
ORH,Orge,Orge d'hiver,3,1.0
ORP,Orge,Orge de printemps,3,1.0
AVH,Autres céréales,Avoine d’hiver,4,
AVP,Autres céréales,Avoine de printemps,4,
BDH,Autres céréales,Blé dur d’hiver,4,
BDP,Autres céréales,Blé dur de printemps,4,
BDT,Autres céréales,Blé dur de printemps semé tardivement (après le 31/05),4,
CAG,Autres céréales,Autre céréale d’un autre genre,4,
CGF,Autres céréales,Autre céréale de genre Fagopyrum,4,
CGH,Autres céréales,Autre céréale de genre Phalaris,4,
CGO,Autres céréales,Autre céréale de genre Sorghum,4,
CGP,Autres céréales,Autre céréale de genre Panicum,4,
CGS,Autres céréales,Autre céréale de genre Setaria,4,
CHA,Autres céréales,Autre céréale d’hiver de genre Avena,4,
CHH,Autres céréales,Autre céréale d’hiver de genre Hordeum,4,
CHS,Autres céréales,Autre céréale d’hiver de genre Secale,4,
CHT,Autres céréales,Autre céréale d’hiver de genre Triticum,4,
CPA,Autres céréales,Autre céréale de printemps de genre Avena,4,
CPH,Autres céréales,Autre céréale de printemps de genre Hordeum,4,
CPS,Autres céréales,Autre céréale de printemps de genre Secale,4,
CPT,Autres céréales,Autre céréale de printemps de genre Triticum,4,
CPZ,Autres céréales,Autre céréale de printemps de genre Zea,4,
EPE,Autres céréales,Épeautre,4,
MCR,Autres céréales,Mélange de céréales,4,
MLT,Autres céréales,Millet,4,1.0
SGH,Autres céréales,Seigle d’hiver,4,
SGP,Autres céréales,Seigle de printemps,4,
SOG,Autres céréales,Sorgho,4,1.0
SRS,Autres céréales,Sarrasin,4,1.0
TTH,Autres céréales,Triticale d’hiver,4,
TTP,Autres céréales,Triticale de printemps,4,
CZH,Colza,Colza d’hiver,5,4.0
CZP,Colza,Colza de printemps,5,4.0
TRN,Tournesol,Tournesol,6,4.0
ARA,Autres oléagineux,Arachide,7,
LIH,Autres oléagineux,Lin non textile d’hiver,7,
LIP,Autres oléagineux,Lin non textile de printemps,7,
MOL,Autres oléagineux,Mélange d’oléagineux,7,
NVE,Autres oléagineux,Navette d’été,7,
NVH,Autres oléagineux,Navette d’hiver,7,
OAG,Autres oléagineux,Autre oléagineux d’un autre genre,7,
OEH,Autres oléagineux,Autre oléagineux d’espèce Helianthus,7,
OEI,Autres oléagineux,Œillette,7,
OHN,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica napus,7,
OHR,Autres oléagineux,Autre oléagineux d’hiver d’espèce Brassica rapa,7,
OPN,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica napus,7,
OPR,Autres oléagineux,Autre oléagineux de printemps d’espèce Brassica rapa,7,
SOJ,Autres oléagineux,Soja,7,
FEV,Protéagineux,Fève,8,
FVL,Protéagineux,Féverole semée avant le 31/05,8,
FVT,Protéagineux,Féverole semée tardivement (après le 31/05),8,
LDH,Protéagineux,Lupin doux d’hiver,8,
LDP,Protéagineux,Lupin doux de printemps semé avant le 31/05,8,
LDT,Protéagineux,Lupin doux de printemps semé tardivement (après le 31/05),8,
MPC,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales,8,
MPP,Protéagineux,Mélange de protéagineux (pois et/ou lupin et/ou féverole),8,
MPT,Protéagineux,Mélange de protéagineux semés tardivement (après le 31/05),8,
PAG,Protéagineux,Autre protéagineux d’un autre genre,8,
PHI,Protéagineux,Pois d’hiver,8,
PPR,Protéagineux,Pois de printemps semé avant le 31/05,8,
PPT,Protéagineux,Pois de printemps semé tardivement (après le 31/05),8,
CHV,Plantes à fibres,Chanvre,9,9.0
CSE,Plantes à fibres,Chanvre sans étiquette conforme,9,
LIF,Plantes à fibres,Lin fibres,9,
J5M,Gel (surfaces gelées sans production),Jachère de 5 ans ou moins,11,
J6P,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus,11,
J6S,Gel (surfaces gelées sans production),Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,11,
JNO,Gel (surfaces gelées sans production),Jachère noire,11,
RIZ,Riz,Riz,14,1.0
LEC,Légumineuses à grains,Lentille cultivée (non fourragère),15,
PCH,Légumineuses à grains,Pois chiche,15,
BVF,Fourrage,Betterave fourragère,16,
CAF,Fourrage,Carotte fourragère,16,
CHF,Fourrage,Chou fourrager,16,
CPL,Fourrage,Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%),16,
DTY,Fourrage,Dactyle de 5 ans ou moins,16,
FAG,Fourrage,Autre fourrage annuel d’un autre genre,16,
FET,Fourrage,Fétuque de 5 ans ou moins,16,
FF5,Fourrage,Féverole fourragère implantée pour la récolte 2015,16,
FF6,Fourrage,Féverole fourragère implantée pour la récolte 2016,16,
FF7,Fourrage,Féverole fourragère implantée pour la récolte 2017,16,
FF8,Fourrage,Féverole fourragère implantée pour la récolte 2018,16,
FFO,Fourrage,Autre féverole fourragère,16,
FLO,Fourrage,Fléole de 5 ans ou moins,16,
FSG,Fourrage,Autre plante fourragère sarclée d’un autre genre,16,
GAI,Fourrage,Gaillet,16,
GES,Fourrage,Gesse,16,
GFP,Fourrage,Autre graminée fourragère pure de 5 ans ou moins,16,
JO5,Fourrage,Jarosse implantée pour la récolte 2015,16,
JO6,Fourrage,Jarosse implantée pour la récolte 2016,16,
JO7,Fourrage,Jarosse implantée pour la récolte 2017,16,
JO8,Fourrage,Jarosse implantée pour la récolte 2018,16,
JOD,Fourrage,Jarosse déshydratée,16,
JOS,Fourrage,Autre jarosse,16,
LEF,Fourrage,Lentille fourragère,16,
LFH,Fourrage,Autre lupin fourrager d’hiver,16,
LFP,Fourrage,Autre lupin fourrager de printemps,16,
LH5,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2015,16,
LH6,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2016,16,
LH7,Fourrage,Lupin fourrager d’hiver implanté pour la récolte 2017,16,
LH8,Fourrage,Lupin fourrager d'hiver implanté pour la récolte 2018,16,
LO7,Fourrage,Lotier implanté pour la récolte 2017,16,
LO8,Fourrage,Lotier implanté pour la récolte 2018,16,
LOT,Fourrage,Lotier,16,
LP5,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2015,16,
LP6,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2016,16,
LP7,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2017,16,
LP8,Fourrage,Lupin fourrager de printemps implanté pour la récolte 2018,16,
LU5,Fourrage,Luzerne implantée pour la récolte 2015,16,
LU6,Fourrage,Luzerne implantée pour la récolte 2016,16,
LU7,Fourrage,Luzerne implantée pour la récolte 2017,16,
LU8,Fourrage,Luzerne implantée pour la récolte 2018,16,
LUD,Fourrage,Luzerne déshydratée,16,
LUZ,Fourrage,Autre luzerne,16,
MC5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales,16,
MC6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales,16,
MC7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et de céréales,16,
MC8,Fourrage,Mélange de légumineuses fourragères prépondérantes implantées pour la récolte 2018 et de céréales et d’oléagineux,16,
ME5,Fourrage,Mélilot implanté pour la récolte 2015,16,
ME6,Fourrage,Mélilot implanté pour la récolte 2016,16,
ME7,Fourrage,Mélilot implanté pour la récolte 2017,16,
ME8,Fourrage,Mélilot implanté pour la récolte 2018,16,
MED,Fourrage,Mélilot déshydraté,16,
MEL,Fourrage,Autre mélilot,16,
MH5,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d’herbacées ou de graminées fourragères,16,
MH6,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d’herbacées ou de graminées fourragères,16,
MH7,Fourrage,Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2017 et d’herbacées ou de graminées fourragères,16,
MI7,Fourrage,Minette implanté pour la récolte 2017,16,
MI8,Fourrage,Minette implanté pour la récolte 2018,16,
MIN,Fourrage,Minette,16,
ML5,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles),16,
ML6,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles),16,
ML7,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2017 (entre elles),16,
ML8,Fourrage,Mélange de légumineuses fourragères implantées pour la récolte 2018 (entre elles),16,
MLC,Fourrage,Mélange de légumineuses fourragères prépondérantes et de céréales et/ou d’oléagineux,16,
MLD,Fourrage,Mélange de légumineuses déshydratées (entre elles),16,
MLF,Fourrage,Mélange de légumineuses fourragères (entre elles),16,
MLG,Fourrage,Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins,16,
MOH,Fourrage,Moha,16,
NVF,Fourrage,Navet fourrager,16,
PAT,Fourrage,Pâturin commun de 5 ans ou moins,16,
PFH,Fourrage,Autre pois fourrager d’hiver,16,
PFP,Fourrage,Autre pois fourrager de printemps,16,
PH5,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2015,16,
PH6,Fourrage,Pois fourrager d’hiver implanté pour la récolte 2016,16,
