ID_CROPS_WL,ID_GROUP_WL,ID_GROUP_ICC,similarity
9812,AUTRES UTILISATIONS DU SOL,2.0,100.0
811,AUTRES UTILISATIONS DU SOL,,
812,AUTRES UTILISATIONS DU SOL,,
813,AUTRES UTILISATIONS DU SOL,,
883,AUTRES UTILISATIONS DU SOL,,
821,AUTRES UTILISATIONS DU SOL,,
9822,AUTRES UTILISATIONS DU SOL,6.0,100.0
884,AUTRES UTILISATIONS DU SOL,,
7431,AUTRES UTILISATIONS DU SOL,,
953,AUTRES UTILISATIONS DU SOL,,
957,AUTRES UTILISATIONS DU SOL,,
9821,AUTRES UTILISATIONS DU SOL,9.0,100.0
874,AUTRES UTILISATIONS DU SOL,,
751,AUTRES UTILISATIONS DU SOL,,
754,AUTRES UTILISATIONS DU SOL,,
752,AUTRES UTILISATIONS DU SOL,,
760,AUTRES UTILISATIONS DU SOL,,
85,AUTRES UTILISATIONS DU SOL,,
